category,title,price,link,platform,price_clean
Комп'ютерна техніка,Ноутбук Acer Aspire Lite AL16-52P (NX.J5SEU.001),23999,https://allo.ua/ua/products/notebooks/noutbuk-acer-aspire-lite-al16-52p-nx-j5seu-001.html,Allo,23999.0
Комп'ютерна техніка,"Ноутбук Apple MacBook Air 13""M4 16/512GB 2025 (MC6U4) Sky Blue",62999,https://allo.ua/ua/products/notebooks/noutbuk-apple-macbook-air-13-m4-16-512gb-mc6u4-sky-blue.html,Allo,62999.0
Комп'ютерна техніка,"Ноутбук Apple MacBook Pro 14"" M5 16/512GB (MDE44) Silver",88999,https://allo.ua/ua/products/notebooks/noutbuk-apple-macbook-pro-14-m5-16-512gb-mde44-silver.html,Allo,88999.0
Комп'ютерна техніка,Ноутбук 14.1 CHUWI GemiBook XPro (N100/8/256GB) Win 11 + Синій Рюкзак CHUWI Waterproof у Подарунок! (CW-112616),14909,https://allo.ua/ua/products/notebooks/noutbuk-14-1-chuwi-gemibook-xpro-n100-8-256gb-win-11-sinij-rjukzak-chuwi-waterproof-v-podarok-cw-112616.html,Allo,14909.0
Комп'ютерна техніка,Ноутбук Acer Aspire 5 15 A515-48M-R1A1 (NX.KJ9EU.00S),23999,https://allo.ua/ua/products/notebooks/noutbuk-acer-aspire-5-15-a515-48m-r1a1-nx-kj9eu-00s.html,Allo,23999.0
Комп'ютерна техніка,Ноутбук Acer Aspire Go 15 AG15-51P (NX.J51EU.00C),23999,https://allo.ua/ua/products/notebooks/noutbuk-acer-aspire-go-15-ag15-51p-nx-j51eu-00c.html,Allo,23999.0
Комп'ютерна техніка,Ноутбук Xiaomi RedmiBook 15 і7/8G/512G/W11 (JYU4546UA),17999,https://allo.ua/ua/products/notebooks/noutbuk-xiaomi-redmibook-15-i7-8g-512g-w11-jyu4546ua.html,Allo,17999.0
Комп'ютерна техніка,Ноутбук HP 15-fc0119ua (BF1H9EA),25999,https://allo.ua/ua/products/notebooks/noutbuk-hp-15-fc0119ua-bf1h9ea.html,Allo,25999.0
Комп'ютерна техніка,"Ноутбук Asus TUF Gaming A15 FA507NUR (NVIDIA GeForce RTX 4050, 16/512 ГБ SSD) Б/В",44649,https://allo.ua/ua/products/notebooks/noutbuk-asus-tuf-gaming-a15-fa507nur-nvidia-geforce-rtx-4050-16-512-gb-ssd.html,Allo,44649.0
Комп'ютерна техніка,"Ноутбук Apple MacBook Air 13""M4 16/512GB 2025 (MW133) Midnight",59999,https://allo.ua/ua/products/notebooks/noutbuk-apple-macbook-air-13-m4-16-512gb-mw133-midnight.html,Allo,59999.0
Комп'ютерна техніка,"Ноутбук Apple MacBook Pro 14"" M5 16/512GB (MDE04) Space Black",88999,https://allo.ua/ua/products/notebooks/noutbuk-apple-macbook-pro-14-m5-16-512gb-mde04-space-black.html,Allo,88999.0
Комп'ютерна техніка,Ноутбук Acer Aspire 3 A315-59 (NX.K6SEU.00Q),22999,https://allo.ua/ua/products/notebooks/noutbuk-acer-aspire-3-a315-59-nx-k6seu-00q.html,Allo,22999.0
Комп'ютерна техніка,Ноутбук Xiaomi RedmiBook Pro 14 2024 Ul5/32GB/1T (JYU4597CN),39999,https://allo.ua/ua/products/notebooks/noutbuk-xiaomi-redmibook-pro-14-2024-ul5-32gb-1t-jyu4597cn.html,Allo,39999.0
Комп'ютерна техніка,Ноутбук ACER Nitro V 15 ANV15-41-R4YC (NH.QSHEU.00P),36999,https://allo.ua/ua/products/notebooks/noutbuk-acer-nitro-v-15-anv15-41-r4yc-nh-qsheu-00p.html,Allo,36999.0
Комп'ютерна техніка,Ноутбук Xiaomi RedmiBook Pro 16 2024 Ultra5/32G/1T/3.1K/165Hz (JYU4592CN),45999,https://allo.ua/ua/products/notebooks/noutbuk-xiaomi-redmibook-pro-16-2024-ultra5-32g-1t-3-1k-165hz-jyu4592cn.html,Allo,45999.0
Комп'ютерна техніка,Ноутбук Lenovo LOQ 15IAX9 (83GS00MDRA),47999,https://allo.ua/ua/products/notebooks/noutbuk-lenovo-loq-15iax9-83gs00mdra.html,Allo,47999.0
Комп'ютерна техніка,"Ноутбук Apple MacBook Air 13""M4 16/512GB 2025 (MW0X3) Silver",62999,https://allo.ua/ua/products/notebooks/noutbuk-apple-macbook-air-13-m4-16-512gb-mw0x3-silver.html,Allo,62999.0
Комп'ютерна техніка,Ноутбук Acer Nitro V 15 ANV15-52 (NH.QZ7EU.00J),48999,https://allo.ua/ua/products/notebooks/noutbuk-acer-nitro-v-15-anv15-52-nh-qz7eu-00j.html,Allo,48999.0
Комп'ютерна техніка,Ноутбук Lenovo LOQ 15IAX9 (83GS008FRA),45999,https://allo.ua/ua/products/notebooks/noutbuk-lenovo-loq-15iax9-83gs008fra.html,Allo,45999.0
